"No","ID","Site","Name","Plot","Subplot","Micro_plot","Block","Row","Date","year_ID","Sampling_ID","Year","Soil_depth","depth","crop_sampling","cc_variant","Fraction","long","lat","BD","Clay","Silt","Sand","OC","TN","CN_ratio","d13C","d15N","MWD_cor","GMD_cor","DS","DS_pc","OC_Frac","TN_Frac","OC_Frac_pc","TN_Frac_pc"
18,"13-3","A","A13",13,1,NA,2,1,2020-10-19,"20-3",1,2020,3,"30-40",8,3,"bulk",9.02486897369257,52.7627274743925,1.647,5.71616193199068,73.7363372933586,20.5475007746507,1.665,0.129,12.906976744186,-27.5066386000792,6.82318682829999,3.15543798698987,1.93997786510592,NA,NA,NA,NA,NA,NA
19,"14-1","A","A14",14,1,NA,2,1,2020-10-19,"20-3",1,2020,1,"0-10",8,4,"bulk",9.02497111682944,52.7626754461593,1.292,7.14229062439986,72.3023938680548,20.5553155075454,2.051,0.169,12.1360946745562,-27.3727866283556,6.46314801355569,2.51156241189121,1.23383152170026,NA,NA,NA,NA,NA,NA
20,"14-2","A","A14",14,1,NA,2,1,2020-10-19,"20-3",1,2020,2,"20-30",8,4,"bulk",9.02497111682944,52.7626754461593,1.418,6.75429384195527,73.6183032432058,19.6274029148389,1.829,0.151,12.112582781457,-27.6392688013405,6.8253069174143,2.71594904654522,1.71053956066891,NA,NA,NA,NA,NA,NA
21,"14-3","A","A14",14,1,NA,2,1,2020-10-19,"20-3",1,2020,3,"30-40",8,4,"bulk",9.02497111682944,52.7626754461593,1.712,5.22876078756824,68.5065790049401,26.2646602074916,1.454,0.12,12.1166666666667,-27.5613852475041,6.7246670324823,2.69651811574265,1.49763137539772,NA,NA,NA,NA,NA,NA
22,"22-1","A","A22",22,1,NA,2,2,2020-10-19,"20-3",1,2020,1,"0-10",8,4,"bulk",9.02450119837841,52.7630908841593,1.298,6.9963656077361,75.6103291072271,17.3933052850368,2.253,0.186,12.1129032258065,-27.6672895670778,6.44913913074347,2.47519952333174,1.06439957345643,NA,NA,NA,NA,NA,NA
23,"22-2","A","A22",22,1,NA,2,2,2020-10-19,"20-3",1,2020,2,"20-30",8,4,"bulk",9.02450119837841,52.7630908841593,1.359,7.17202654249624,74.8394399386186,17.9885335188852,1.943,0.156,12.4551282051282,-27.8187793979153,7.03963677686327,3.34778818200468,1.91387526593378,NA,NA,NA,NA,NA,NA
24,"22-3","A","A22",22,1,NA,2,2,2020-10-19,"20-3",1,2020,3,"30-40",8,4,"bulk",9.02450119837841,52.7630908841593,1.715,5.602637523206,78.0629628688425,16.3343996079515,1.813,0.132,13.7348484848485,-27.7742301757844,6.51853787377266,3.292637643105,2.04559153633081,NA,NA,NA,NA,NA,NA
25,"23-1","A","A23",23,1,NA,2,2,2020-10-19,"20-3",1,2020,1,"0-10",8,3,"bulk",9.024603345,52.763038855,1.265,7.17457753578718,73.8967194199025,18.9287030443103,2.271,0.181,12.5469613259669,-27.6734055862585,6.31275104704729,3.04490482940964,1.98252798612533,NA,NA,NA,NA,NA,NA
26,"23-2","A","A23",23,1,NA,2,2,2020-10-19,"20-3",1,2020,2,"20-30",8,3,"bulk",9.024603345,52.763038855,1.372,7.18439895205254,74.2480533864963,18.5675476614512,1.964,0.165,11.9030303030303,-27.7468016398455,6.86559953933496,3.10180068420545,1.55489869498117,NA,NA,NA,NA,NA,NA
27,"23-3","A","A23",23,1,NA,2,2,2020-10-19,"20-3",1,2020,3,"30-40",8,3,"bulk",9.024603345,52.763038855,1.633,6.04227321736678,65.5998300111784,28.3578967714548,1.628,0.13,12.5230769230769,-27.7319057908463,6.57903988625852,3.36399565102845,2.17518147742066,NA,NA,NA,NA,NA,NA
28,"24-1","A","A24",24,1,NA,2,2,2020-10-19,"20-3",1,2020,1,"0-10",8,5,"bulk",9.02470549289855,52.7629868264323,1.367,6.96597994645286,74.6681107666531,18.3659092868941,2.321,0.181,12.8232044198895,-27.4404721926579,6.47354321204878,2.86098606597695,1.44138779777275,NA,NA,NA,NA,NA,NA
29,"24-2","A","A24",24,1,NA,2,2,2020-10-19,"20-3",1,2020,2,"20-30",8,5,"bulk",9.02470549289855,52.7629868264323,1.395,6.43595139132467,74.4230015433201,19.1410470653553,1.845,0.153,12.0588235294118,-27.6521750064034,6.83064058313302,2.87654588978336,1.24575377414034,NA,NA,NA,NA,NA,NA
30,"24-3","A","A24",24,1,NA,2,2,2020-10-19,"20-3",1,2020,3,"30-40",8,5,"bulk",9.02470549289855,52.7629868264323,1.64,5.40836349073862,77.8804342666323,16.7112022426291,1.643,0.131,12.5419847328244,-27.5770253990055,6.95346347801401,3.45138512875342,2.2504384439194,NA,NA,NA,NA,NA,NA
31,"25-1","A","A25",25,1,NA,2,2,2020-10-19,"20-3",1,2020,1,"0-10",8,1,"bulk",9.02480763579219,52.7629347976313,1.451,6.29442121602619,75.3237057713775,18.3818730125963,2.156,0.177,12.180790960452,-27.4754211791151,6.35290379274891,2.55663609641418,1.26879011115712,NA,NA,NA,NA,NA,NA
32,"25-2","A","A25",25,1,NA,2,2,2020-10-19,"20-3",1,2020,2,"20-30",8,1,"bulk",9.02480763579219,52.7629347976313,1.402,6.08630450325176,75.333404952611,18.5802905441372,1.78,0.146,12.1917808219178,-27.7841781515433,6.87593475388567,2.77564055259667,1.52686218772714,NA,NA,NA,NA,NA,NA
33,"25-3","A","A25",25,1,NA,2,2,2020-10-19,"20-3",1,2020,3,"30-40",8,1,"bulk",9.02480763579219,52.7629347976313,1.66,4.61628573153809,71.491782117483,23.8919321509789,1.7,0.137,12.4087591240876,-27.8272008313076,6.69187310834366,2.84060408645692,1.51607392164741,NA,NA,NA,NA,NA,NA
34,"26-1","A","A26",26,1,NA,2,2,2020-10-19,"20-3",1,2020,1,"0-10",8,2,"bulk",9.02490977420781,52.7628827723687,1.422,6.12834524696165,74.1805206129443,19.691134140094,1.921,0.164,11.7134146341463,-27.597997402449,6.61212486851647,2.70411281001143,1.28826332904468,NA,NA,NA,NA,NA,NA
35,"26-2","A","A26",26,1,NA,2,2,2020-10-19,"20-3",1,2020,2,"20-30",8,2,"bulk",9.02490977420781,52.7628827723687,1.382,6.58037581215889,72.0833167537631,21.336307434078,1.841,0.159,11.5786163522013,-27.7117165884788,6.94164189894637,3.27268651492419,1.9955607583999,NA,NA,NA,NA,NA,NA
36,"26-3","A","A26",26,1,NA,2,2,2020-10-19,"20-3",1,2020,3,"30-40",8,2,"bulk",9.02490977420781,52.7628827723687,1.614,5.17565895172066,69.8283848320164,24.9959562162629,1.352,0.11,12.2909090909091,-27.5322051125816,6.64128888076532,3.35089624796191,2.31575705788162,NA,NA,NA,NA,NA,NA
37,"27-1","A","A27",27,1,NA,2,2,2020-10-19,"20-3",1,2020,1,"0-10",8,6,"bulk",9.02501191872313,52.7628307444083,1.387,7.1181511092588,70.8012066482383,22.0806422425029,1.737,0.147,11.8163265306122,-27.2346586371831,6.2873505092731,2.33235252285043,1.1541036325162,NA,NA,NA,NA,NA,NA
38,"27-2","A","A27",27,1,NA,2,2,2020-10-19,"20-3",1,2020,2,"20-30",8,6,"bulk",9.02501191872313,52.7628307444083,1.247,6.5240185023886,72.4798868492919,20.9960946483195,1.722,0.152,11.3289473684211,-27.9802367782596,6.96105774160562,3.02838530611397,1.80875152683703,NA,NA,NA,NA,NA,NA
39,"27-3","A","A27",27,1,NA,2,2,2020-10-19,"20-3",1,2020,3,"30-40",8,6,"bulk",9.02501191872313,52.7628307444083,1.598,3.9330296804647,73.4967731721853,22.57019714735,1.574,0.134,11.7462686567164,-27.4294446368738,6.7403094043673,3.11377944476505,1.69430990861042,NA,NA,NA,NA,NA,NA
40,"28-1","A","A28",28,1,NA,2,2,2020-10-19,"20-3",1,2020,1,"0-10",8,7,"bulk",9.02511406479224,52.7627787146814,1.187,6.05504826024768,74.5497541801789,19.3951975595734,1.876,0.158,11.873417721519,-27.4163232219006,6.31850064416238,3.15461422779432,1.41204033153383,NA,NA,NA,NA,NA,NA
41,"28-2","A","A28",28,1,NA,2,2,2020-10-19,"20-3",1,2020,2,"20-30",8,7,"bulk",9.02511406479224,52.7627787146814,1.33,6.09767553706474,73.561319776933,20.3410046860023,1.916,0.166,11.5421686746988,-27.8380756412328,6.52503704209955,3.68707289924201,2.6298775875514,NA,NA,NA,NA,NA,NA
42,"28-3","A","A28",28,1,NA,2,2,2020-10-19,"20-3",1,2020,3,"30-40",8,7,"bulk",9.02511406479224,52.7627787146814,1.791,4.36163333816599,77.3332292991597,18.3051373626743,1.443,0.126,11.452380952381,-27.5684993262803,6.81323693058499,3.49790493594287,2.34569380870613,NA,NA,NA,NA,NA,NA
43,"36-1","A","A36",36,1,NA,2,3,2020-10-19,"20-3",1,2020,1,"0-10",8,6,"bulk",9.0246441464124,52.7631941530699,1.211,8.70474929149456,73.5222965840242,17.7729541244812,2.019,0.167,12.0898203592814,-27.0315203120531,6.52180882877745,2.75185462201729,1.16382750762399,NA,NA,NA,NA,NA,NA
44,"36-2","A","A36",36,1,NA,2,3,2020-10-19,"20-3",1,2020,2,"20-30",8,6,"bulk",9.0246441464124,52.7631941530699,1.438,8.2937928895634,73.9208401145435,17.7853669958932,1.922,0.161,11.9378881987578,-27.7258687535246,6.70984773397305,3.31432424011399,1.88428055649072,NA,NA,NA,NA,NA,NA
45,"36-3","A","A36",36,1,NA,2,3,2020-10-19,"20-3",1,2020,3,"30-40",8,6,"bulk",9.0246441464124,52.7631941530699,1.69,7.53202811897274,73.9604295274594,18.5075423535678,1.342,0.109,12.3119266055046,-27.3556673993415,6.81581800783158,3.4382479259257,1.96217176263177,NA,NA,NA,NA,NA,NA
46,"37-1","A","A37",37,1,NA,2,3,2020-10-19,"20-3",1,2020,1,"0-10",8,7,"bulk",9.02474629431065,52.7631421245021,1.207,8.64165263187984,73.1752843828495,18.1830629852706,1.897,0.161,11.7826086956522,-27.3479528955408,6.5915776460555,2.58743766609913,1.16063792414998,NA,NA,NA,NA,NA,NA
47,"37-2","A","A37",37,1,NA,2,3,2020-10-19,"20-3",1,2020,2,"20-30",8,7,"bulk",9.02474629431065,52.7631421245021,1.342,8.26252116541266,72.8672424430715,18.8702363915158,1.627,0.14,11.6214285714286,-27.5814228780178,7.10598390578887,3.25253960375279,2.14418981822755,NA,NA,NA,NA,NA,NA
48,"37-3","A","A37",37,1,NA,2,3,2020-10-19,"20-3",1,2020,3,"30-40",8,7,"bulk",9.02474629431065,52.7631421245021,1.913,8.52699440457328,73.9651119177916,17.5078936776351,1.551,0.136,11.4044117647059,-27.3156125883229,6.76871057412097,3.32763921777259,1.79150696286023,NA,NA,NA,NA,NA,NA
