"","depth","Fraction","X","cc_variant","Plot","OC_Frac","OC_Frac_pc","cc_variant.fal","OC_Frac.fal","OC_Frac_pc.fal","OC_ratio.pc","OC_ratio.fal"
"18","0-10 cm","<1",218,"Fallow",25,15.1720856018092,72.4476428037975,"Fallow",13.9923762099287,69.9648186593361,108.431086858881,102.482824144461
"19","0-10 cm","<1",308,"Phacelia",38,13.689247131731,75.4227970099105,"Fallow",13.9923762099287,69.9648186593361,97.8336125783796,105.457978350574
"20","0-10 cm","<1",203,"Phacelia",24,15.7249790724929,73.3055773327469,"Fallow",13.9923762099287,69.9648186593361,112.382477690492,103.340758673411
"21","0-10 cm","<1",338,"Oat",40,13.4794051608579,72.2886366245392,"Fallow",13.9923762099287,69.9648186593361,96.3339246931711,102.323817965203
"22","0-10 cm","16-8",64,"Mustard",8,0.274145667643365,1.31827957283599,"Fallow",0.192121771217712,1.132640338561,142.69370197129,100.185639234275
"23","0-10 cm","16-8",184,"Clover",23,0.236853951317106,1.14407727105861,"Fallow",0.192121771217712,1.132640338561,123.283243651082,100.011436932498
"24","0-10 cm","16-8",79,"Fallow",9,0,0,"Fallow",0.192121771217712,1.132640338561,0,98.867359661439
"25","0-10 cm","16-8",199,"Phacelia",24,0.372924828394442,1.73847416401275,"Fallow",0.192121771217712,1.132640338561,194.108572927867,100.605833825452
"26","0-10 cm","16-8",94,"Mix4",10,0.522587097849642,2.32875238892111,"Fallow",0.192121771217712,1.132640338561,272.008265662639,101.19611205036
"27","0-10 cm","16-8",109,"Mix12",11,0.613981651376147,2.61345949175774,"Fallow",0.192121771217712,1.132640338561,319.579424801567,101.480819153197
"28","0-10 cm","16-8",229,"Mustard",26,0.255179958246347,1.36056329951093,"Fallow",0.192121771217712,1.132640338561,132.821989214943,100.22792296095
"29","0-10 cm","16-8",124,"Phacelia",12,0.0593215636822194,0.286059729618564,"Fallow",0.192121771217712,1.132640338561,30.8770647419216,99.1534193910576
"30","0-10 cm","16-8",244,"Mix4",27,0.248932654594008,1.45250550089664,"Fallow",0.192121771217712,1.132640338561,129.570247565497,100.319865162336
"31","0-10 cm","16-8",139,"Clover",13,0.419824854045037,2.10171118045047,"Fallow",0.192121771217712,1.132640338561,218.520187162595,100.969070841889
"32","0-10 cm","16-8",154,"Oat",14,0.210761060466672,1.03743564887204,"Fallow",0.192121771217712,1.132640338561,109.701810019146,99.904795310311
"33","0-10 cm","16-8",274,"Mix4",36,1.28164573915955,6.58729464532069,"Fallow",0.192121771217712,1.132640338561,667.100730456618,105.45465430676
