"","cc_variant","depth","Fraction","OC_ratio.m","OC_ratio.se","OC_Frac_pc","OC_Frac_pc.fal","OC_ratio.fal"
"1","Clover","0-10 cm","<1",100.010194004095,6.86979946067929,72.6386849324937,69.9648186593361,102.673866273157
"2","Clover","0-10 cm","2-1",83.9779668753723,9.8131304940071,10.0129464607043,11.4193844310946,98.5935620296096
"3","Clover","0-10 cm","4-2",82.8495957620073,2.71812052785557,8.81011066888171,10.1248819761701,98.6852286927116
"4","Clover","0-10 cm","8-4",74.0071614724022,7.6257468422541,6.2882457148233,8.11336815387892,98.1748775609444
"5","Clover","0-10 cm","16-8",217.561001773501,54.1565196601244,2.25001222309698,1.132640338561,101.117371884536
"6","Clover","20-30 cm","<1",92.9334695898682,13.6962657556963,69.4383874116764,68.0896097021151,101.348777709561
"7","Clover","20-30 cm","2-1",90.2979429393082,13.7453555501444,10.7661994582242,10.8559438652143,99.9102555930098
"8","Clover","20-30 cm","4-2",84.1617823257813,8.38076417753036,10.2275853015385,10.887222651846,99.3403626496925
"9","Clover","20-30 cm","8-4",87.8391341615201,7.98669320908384,8.08313060849549,8.19350330547722,99.8896273030184
"10","Clover","20-30 cm","16-8",66.8128408169662,4.20040384884738,1.48469722006543,1.97372047534731,99.5109767447181
"11","Clover","30-40 cm","<1",96.3550843450975,9.59411865869702,65.3385969499237,64.6989244838242,100.639672466099
"12","Clover","30-40 cm","2-1",93.0686460925397,15.8288195390013,10.9337878656549,11.4148513068198,99.518936558835
"13","Clover","30-40 cm","4-2",97.6492462929934,16.4044900524798,10.9404001784677,10.8518394476656,100.088560730802
"14","Clover","30-40 cm","8-4",84.5665214400353,13.0221423361026,8.94553620095475,10.0117672489068,98.9337689520478
"15","Clover","30-40 cm","16-8",119.359867977527,41.721777400352,3.84167880499904,3.02261751278359,100.819061292216
"16","Mix12","0-10 cm","<1",100.612578790243,10.0183811268105,68.9697608774218,69.9648186593361,99.0049422180856
"17","Mix12","0-10 cm","2-1",105.90440970542,12.1009096959057,11.9276735540854,11.4193844310946,100.508289122991
"18","Mix12","0-10 cm","4-2",90.8866897942853,8.05675726164797,9.31160554278829,10.1248819761701,99.1867235666181
"19","Mix12","0-10 cm","8-4",96.329612085858,4.6308737867256,7.83375962427019,8.11336815387892,99.7203914703912
"20","Mix12","0-10 cm","16-8",212.442173115894,53.9245788022922,1.95720040143433,1.132640338561,100.824560062873
"21","Mix12","20-30 cm","<1",97.8743125970235,10.1347934247859,65.4507662122768,68.0896097021151,97.3611565101615
"22","Mix12","20-30 cm","2-1",101.897170978829,6.31654618477571,11.011030039868,10.8559438652143,100.155086174654
"23","Mix12","20-30 cm","4-2",101.136121355668,3.64517742961354,10.9596472338323,10.887222651846,100.072424581986
"24","Mix12","20-30 cm","8-4",122.194221874927,2.29868697186348,9.97492742609704,8.19350330547722,101.78142412062
"25","Mix12","20-30 cm","16-8",132.544695237399,41.4866865662703,2.60362908792603,1.97372047534731,100.629908612579
"26","Mix12","30-40 cm","<1",93.8545898968043,3.71509090002548,61.3611402321179,64.6989244838242,96.6622157482937
"27","Mix12","30-40 cm","2-1",95.9152139056059,7.64500332766708,11.0676770829542,11.4148513068198,99.6528257761343
"28","Mix12","30-40 cm","4-2",132.304582222873,41.6073802116124,13.9772374607172,10.8518394476656,103.125398013052
"29","Mix12","30-40 cm","8-4",110.876633490598,6.48573052958689,11.482292266647,10.0117672489068,101.47052501774
"30","Mix12","30-40 cm","16-8",66.7362957665105,25.545285919814,2.11165295756363,3.02261751278359,99.0890354447802
"31","Mix4","0-10 cm","<1",96.8387227661696,8.53079635572883,69.0192759180148,69.9648186593361,99.0544572586787
"32","Mix4","0-10 cm","2-1",91.9252067308083,4.47551837230581,10.9380753047879,11.4193844310946,99.5186908736933
"33","Mix4","0-10 cm","4-2",102.338335470564,10.2669352035104,10.5864808248299,10.1248819761701,100.46159884866
"34","Mix4","0-10 cm","8-4",76.1262723500949,39.030176078766,5.9999837739879,8.11336815387892,97.8866156201088
"35","Mix4","0-10 cm","16-8",356.226414561585,160.783785938616,3.45618417837948,1.132640338561,102.323543839819
"36","Mix4","20-30 cm","<1",98.3889791786362,2.82635882402289,68.0035333677871,68.0896097021151,99.9139236656721
"37","Mix4","20-30 cm","2-1",105.19633783333,11.0328208056153,11.5070428653558,10.8559438652143,100.651099000141
"38","Mix4","20-30 cm","4-2",92.4685609651145,15.2700073792527,10.0511919338546,10.887222651846,99.1639692820087
"39","Mix4","20-30 cm","8-4",106.049971007394,15.754760542758,8.6786591107762,8.19350330547722,100.485155805299
"40","Mix4","20-30 cm","16-8",90.9530413020849,24.2203103405741,1.7595727222263,1.97372047534731,99.7858522468791
"41","Mix4","30-40 cm","<1",104.1000737204,14.8922906510006,65.0429471774097,64.6989244838242,100.344022693586
"42","Mix4","30-40 cm","2-1",105.327056058529,14.7212826943492,11.6368543895066,11.4148513068198,100.222003082687
"43","Mix4","30-40 cm","4-2",107.993081167452,10.2618114181522,11.5443367567668,10.8518394476656,100.692497309101
"44","Mix4","30-40 cm","8-4",99.7495776761791,10.3111272894012,10.070158256316,10.0117672489068,100.058391007409
"45","Mix4","30-40 cm","16-8",57.238347448297,13.5578658161306,1.70570342000088,3.02261751278359,98.6830859072173
"46","Mustard","0-10 cm","<1",98.3844146865412,3.97650226545579,71.7874402975763,69.9648186593361,101.82262163824
"47","Mustard","0-10 cm","2-1",86.4626899359186,6.62719140124324,10.3738651907209,11.4193844310946,98.9544807596265
