"No","Site","Name","Plot","Block","Row","year_ID","Year","Soil_depth","depth","crop_sampling","cc_variant","BD","Clay","Silt","Sand","OC","TN"
"111","A","A37","37","2","3","15-1","2015","3","30-60","8","Mix12",1.91,8.53,73.97,17.51,0.64,0.06
"112","A","A38","38","2","3","15-1","2015","1","0-10","8","Phacelia",1.37,8.6,71.64,19.76,1.8,0.17
"113","A","A38","38","2","3","15-1","2015","2","10-30","8","Phacelia",1.4,7.83,71.55,20.62,1.58,0.15
"114","A","A38","38","2","3","15-1","2015","3","30-60","8","Phacelia",1.79,7.6,67.81,24.59,0.9,0.09
"115","A","A39","39","2","3","15-1","2015","1","0-10","8","Clover",1.25,7.38,71.7,20.92,1.39,0.13
"116","A","A39","39","2","3","15-1","2015","2","10-30","8","Clover",1.4,7.34,71.18,21.48,1.34,0.13
"117","A","A39","39","2","3","15-1","2015","3","30-60","8","Clover",1.74,5.51,71.09,23.41,0.93,0.09
"118","A","A40","40","2","3","15-1","2015","1","0-10","8","Oat",1.4,8,72.01,19.99,1.45,0.13
"119","A","A40","40","2","3","15-1","2015","2","10-30","8","Oat",1.41,8.34,71.21,20.44,1.41,0.13
"120","A","A40","40","2","3","15-1","2015","3","30-60","8","Oat",1.85,8.35,65.06,26.59,0.89,0.08
"121","A","A41","41","2","3","15-1","2015","1","0-10","8","Mustard",1.33,8.32,72.02,19.66,1.43,0.13
"122","A","A41","41","2","3","15-1","2015","2","10-30","8","Mustard",1.39,8.1,63.4,28.5,1.6,0.14
"123","A","A41","41","2","3","15-1","2015","3","30-60","8","Mustard",1.68,7.24,73.74,19.02,0.85,0.08
"124","A","A42","42","2","3","15-1","2015","1","0-10","8","Fallow",1.18,8.14,72.68,19.18,1.66,0.15
"125","A","A42","42","2","3","15-1","2015","2","10-30","8","Fallow",1.32,7.43,72.63,19.94,1.57,0.14
"126","A","A42","42","2","3","15-1","2015","3","30-60","8","Fallow",1.7,6.44,76.45,17.11,1.11,0.09
